date,Country/Region,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,share_of_last_week,percentage,population
2022-01-05,Romania,45.9432,24.9668,1821849,58896,0,1762953,0.8849800395093117,0.9,192.37682
2022-01-05,San Marino,43.9424,12.4578,8847,103,0,8744,11.744094043178478,11.7,0.33938
2022-01-05,Serbia,44.0165,21.0059,1318333,12831,0,1305502,1.7548677003458155,1.8,87.3737
2022-01-05,Slovakia,48.669,19.699,1385760,16824,0,1368936,1.6079263364507563,1.6,54.59643
2022-01-05,Slovenia,46.1512,14.9955,475027,5629,0,469398,3.071825390977776,3.1,20.78931
2022-01-05,Spain,40.463667,-3.74922,6922466,89837,0,6832629,11.40358074709215,11.4,467.54783
2022-01-05,Sweden,60.128161,18.643501,1375267,15369,0,1359898,5.206552618509715,5.2,100.9927
2022-01-05,Switzerland,46.8182,8.2275,1422932,12303,0,1410629,9.019405003190595,9.0,86.54618
2022-01-05,Turkey,38.9637,35.2433,9718861,83075,0,9635786,3.259414863531848,3.3,843.39067
2022-01-05,Ukraine,48.3794,31.1656,3862959,103014,0,3759945,0.7509010579713634,0.8,437.33759
2022-01-05,United Kingdom,55.3781,-3.436,13917693,178758,0,13738935,9.255772490455135,9.3,678.86004
2022-01-06,Albania,41.1533,20.1683,213257,3228,0,210029,2.0435437054821177,2.0,28.778
2022-01-06,Andorra,42.5063,1.5218,25289,141,0,25148,8.568943018703784,8.6,0.77265
2022-01-06,Austria,47.5162,14.5501,1300899,16912,0,1283987,2.557385315846964,2.6,90.064
2022-01-06,Belarus,53.7098,27.9534,704907,5669,0,699238,1.0365906424535436,1.0,94.49321
2022-01-06,Belgium,50.8333,4.469936,2206992,28446,0,2178546,5.316512248345259,5.3,115.89616
2022-01-06,Bosnia and Herzegovina,43.9159,17.6791,297333,13568,0,283765,2.307850120908207,2.3,32.80815
2022-01-06,Bulgaria,42.7339,25.4858,770001,31375,0,738626,3.338047612925178,3.3,69.48445
2022-01-06,Croatia,45.1,15.2,745544,12764,0,732780,4.810715397079179,4.8,41.05268
2022-01-06,Cyprus,35.1264,33.4299,192157,650,0,191507,15.808947891567833,15.8,12.07361
2022-01-06,Denmark,56.2639,9.5018,929647,3349,0,926298,14.798197595431384,14.8,57.92203
2022-01-06,Estonia,58.5953,25.0136,247863,1945,0,245918,3.0375651065306237,3.0,13.26539
2022-01-06,Finland,61.92411,25.748151,315915,1790,0,314125,16.59022205340044,16.6,55.40718
2022-01-06,France,46.2276,2.2137,11290010,126002,0,11164008,12.793850492603639,12.8,652.73512
2022-01-06,Germany,51.165691,10.451526,7361660,113368,0,7248292,3.429634077096742,3.4,837.83945
2022-01-06,Greece,39.0742,21.8243,1422020,21185,0,1400835,17.70207170081996,17.7,104.23056
2022-01-06,Hungary,47.1625,19.5033,1276433,39679,0,1236754,1.8315101536860925,1.8,96.6035
2022-01-06,Iceland,64.9631,-19.0208,35239,39,0,35200,23.21291750617214,23.2,3.4125
2022-01-06,Ireland,53.1424,-7.6921,908672,5952,0,902720,15.431640900126778,15.4,49.37796
2022-01-06,Italy,41.87194,12.56738,6975465,138474,0,6836991,14.250476491531389,14.3,604.61828
2022-01-06,Kosovo,42.602636,20.902977,161965,2991,0,158974,0.32290927052140894,0.3,18.45
2022-01-06,Latvia,56.8796,24.6032,283149,4625,0,278524,2.6954006547789326,2.7,18.86202
2022-01-06,Liechtenstein,47.14,9.55,6483,71,0,6412,5.429585068641061,5.4,0.38137
2022-01-06,Lithuania,55.1694,23.8813,538619,7508,0,531111,3.0203167730807863,3.0,27.22291
2022-01-06,Luxembourg,49.8153,6.1296,110298,921,0,109377,7.082630691399663,7.1,6.25976
2022-01-06,Malta,35.9375,14.3754,58275,484,0,57791,12.363792363792363,12.4,4.41539
2022-01-06,Moldova,47.4116,28.3699,378904,10339,0,368565,0.8244832464159787,0.8,40.33963
2022-01-06,Monaco,43.7333,7.4167,5593,42,0,5551,10.870731271231897,10.9,0.39244
2022-01-06,Montenegro,42.708678,19.37439,183220,2428,0,180792,8.127933631699596,8.1,6.28062
2022-01-06,Netherlands,52.1326,5.2913,3344040,21511,0,3322529,4.8577170129543905,4.9,171.34873
2022-01-06,North Macedonia,41.6086,21.7453,230265,8002,0,222263,2.500597138080038,2.5,20.8338
2022-01-06,Norway,60.472,8.4689,428736,1349,0,427387,8.751772652634722,8.8,54.21242
2022-01-06,Poland,51.9194,19.1451,4179292,99311,0,4079981,2.0262762209484286,2.0,378.46605
2022-01-06,Portugal,39.3999,-8.2245,1539050,19054,0,1519996,11.71066567038108,11.7,101.96707
2022-01-06,Romania,45.9432,24.9668,1827867,58940,0,1768927,1.1294038351805684,1.1,192.37682
2022-01-06,San Marino,43.9424,12.4578,8847,103,0,8744,11.744094043178478,11.7,0.33938
2022-01-06,Serbia,44.0165,21.0059,1327455,12850,0,1314605,2.283165907695553,2.3,87.3737
2022-01-06,Slovakia,48.669,19.699,1389546,16871,0,1372675,1.5965646333406738,1.6,54.59643
2022-01-06,Slovenia,46.1512,14.9955,478860,5634,0,473226,3.489119993317462,3.5,20.78931
